t,x,p_dibem,p_exact,error
8.000000000000e-01,-1.200000000000e-01,-1.715358095036e-03,-1.682593396338e-03,-3.276469869802e-05
8.000000000000e-01,-1.100000000000e-01,-1.655101297725e-03,-1.616151577150e-03,-3.894972057534e-05
8.000000000000e-01,-1.000000000000e-01,-1.599239592272e-03,-1.559051544464e-03,-4.018804780878e-05
8.000000000000e-01,-9.000000000000e-02,-1.545035289530e-03,-1.510082937195e-03,-3.495235233489e-05
8.000000000000e-01,-8.000000000000e-02,-1.493138237594e-03,-1.468277223240e-03,-2.486101435377e-05
8.000000000000e-01,-7.000000000000e-02,-1.447179197846e-03,-1.432860706135e-03,-1.431849171163e-05
8.000000000000e-01,-6.000000000000e-02,-1.409964720486e-03,-1.403217004727e-03,-6.747715758811e-06
8.000000000000e-01,-5.000000000000e-02,-1.382872237534e-03,-1.378857799576e-03,-4.014437958510e-06
8.000000000000e-01,-4.000000000000e-02,-1.365505228748e-03,-1.359400460076e-03,-6.104768672298e-06
8.000000000000e-01,-3.000000000000e-02,-1.356954841689e-03,-1.344551244032e-03,-1.240359765621e-05
8.000000000000e-01,-2.000000000000e-02,-1.355162965325e-03,-1.334092958000e-03,-2.107000732509e-05
8.000000000000e-01,-1.000000000000e-02,-1.356795596316e-03,-1.327876200860e-03,-2.891939545575e-05
8.000000000000e-01,0.000000000000e+00,-1.358131170086e-03,-1.325813542819e-03,-3.231762726761e-05
8.000000000000e-01,1.000000000000e-02,-1.356795048680e-03,-1.327876200860e-03,-2.891884782000e-05
8.000000000000e-01,2.000000000000e-02,-1.355161874776e-03,-1.334092958000e-03,-2.106891677551e-05
8.000000000000e-01,3.000000000000e-02,-1.356953223852e-03,-1.344551244032e-03,-1.240197981939e-05
8.000000000000e-01,4.000000000000e-02,-1.365503122017e-03,-1.359400460076e-03,-6.102661940900e-06
8.000000000000e-01,5.000000000000e-02,-1.382869719478e-03,-1.378857799576e-03,-4.011919902333e-06
8.000000000000e-01,6.000000000000e-02,-1.409961899452e-03,-1.403217004727e-03,-6.744894724947e-06
8.000000000000e-01,7.000000000000e-02,-1.447176177081e-03,-1.432860706135e-03,-1.431547094567e-05
8.000000000000e-01,8.000000000000e-02,-1.493135130333e-03,-1.468277223240e-03,-2.485790709236e-05
8.000000000000e-01,9.000000000000e-02,-1.545032239142e-03,-1.510082937195e-03,-3.494930194636e-05
8.000000000000e-01,1.000000000000e-01,-1.599236787006e-03,-1.559051544464e-03,-4.018524254212e-05
8.000000000000e-01,1.100000000000e-01,-1.655098929285e-03,-1.616151577150e-03,-3.894735213513e-05
8.000000000000e-01,1.200000000000e-01,-1.715356309807e-03,-1.682593396338e-03,-3.276291346903e-05
8.000000000000e-01,1.300000000000e-01,-1.782522792565e-03,-1.759886214456e-03,-2.263657810915e-05
8.000000000000e-01,1.400000000000e-01,-1.858683724032e-03,-1.849904281664e-03,-8.779442367939e-06
8.000000000000e-01,1.500000000000e-01,-1.945981310391e-03,-1.954958795567e-03,8.977485175848e-06
8.000000000000e-01,1.600000000000e-01,-2.052171219640e-03,-2.077867929036e-03,2.569670939607e-05
8.000000000000e-01,1.700000000000e-01,-2.187462019963e-03,-2.222011212965e-03,3.454919300194e-05
8.000000000000e-01,1.800000000000e-01,-2.360455247718e-03,-2.391346129642e-03,3.089088192411e-05
8.000000000000e-01,1.900000000000e-01,-2.577635948764e-03,-2.590354328980e-03,1.271838021611e-05
8.000000000000e-01,2.000000000000e-01,-2.841006147758e-03,-2.823873206941e-03,-1.713294081688e-05
8.000000000000e-01,2.100000000000e-01,-3.140940853891e-03,-3.096757490279e-03,-4.418336361146e-05
8.000000000000e-01,2.200000000000e-01,-3.463838014148e-03,-3.413307982631e-03,-5.053003151736e-05
8.000000000000e-01,2.300000000000e-01,-3.796555538381e-03,-3.776405057758e-03,-2.015048062279e-05
8.000000000000e-01,2.400000000000e-01,-4.128319925285e-03,-4.186298163727e-03,5.797823844212e-05
8.000000000000e-01,2.500000000000e-01,-4.462190786284e-03,-4.639035104444e-03,1.768443181602e-04
8.000000000000e-01,2.600000000000e-01,-4.827094699673e-03,-5.124570672353e-03,2.974759726806e-04
8.000000000000e-01,2.700000000000e-01,-5.251470397302e-03,-5.624674805276e-03,3.732044079741e-04
8.000000000000e-01,2.800000000000e-01,-5.752318701538e-03,-6.110862129239e-03,3.585434277015e-04
8.000000000000e-01,2.900000000000e-01,-6.326579463386e-03,-6.542676633223e-03,2.160971698373e-04
8.000000000000e-01,3.000000000000e-01,-6.912323813664e-03,-6.866768127718e-03,-4.555568594575e-05
8.000000000000e-01,3.100000000000e-01,-7.383678277525e-03,-7.017264275957e-03,-3.664140015684e-04
8.000000000000e-01,3.200000000000e-01,-7.600092549719e-03,-6.917942066922e-03,-6.821504827962e-04
8.000000000000e-01,3.300000000000e-01,-7.421225273114e-03,-6.486605710580e-03,-9.346195625335e-04
8.000000000000e-01,3.400000000000e-01,-6.719730565346e-03,-5.641863726333e-03,-1.077866839014e-03
8.000000000000e-01,3.500000000000e-01,-5.394987122033e-03,-4.312164809784e-03,-1.082822312249e-03
8.000000000000e-01,3.600000000000e-01,-3.380879043689e-03,-2.446524778443e-03,-9.343542652459e-04
8.000000000000e-01,3.700000000000e-01,-6.516913095851e-04,-2.591069851941e-05,-6.257806110657e-04
8.000000000000e-01,3.800000000000e-01,2.770468578086e-03,2.926174210989e-03,-1.557056329029e-04
8.000000000000e-01,3.900000000000e-01,6.792054859951e-03,6.335641143289e-03,4.564137166614e-04
8.000000000000e-01,4.000000000000e-01,1.116947519397e-02,1.007407863512e-02,1.095396558858e-03
8.000000000000e-01,4.100000000000e-01,1.558958337302e-02,1.396083583266e-02,1.628747540360e-03
8.000000000000e-01,4.200000000000e-01,1.972503443211e-02,1.777183474903e-02,1.953199683078e-03
8.000000000000e-01,4.300000000000e-01,2.325904210995e-02,2.125513599229e-02,2.003906117660e-03
8.000000000000e-01,4.400000000000e-01,2.592348169568e-02,2.415222911903e-02,1.771252576648e-03
8.000000000000e-01,4.500000000000e-01,2.754074112758e-02,2.622296941853e-02,1.317771709053e-03
8.000000000000e-01,4.600000000000e-01,2.799565638970e-02,2.727123869361e-02,7.244176960879e-04
8.000000000000e-01,4.700000000000e-01,2.723263915171e-02,2.716795647340e-02,6.468267830617e-05
8.000000000000e-01,4.800000000000e-01,2.525907572420e-02,2.586814091740e-02,-6.090651932031e-04
8.000000000000e-01,4.900000000000e-01,2.219414971530e-02,2.341935328789e-02,-1.225203572596e-03
8.000000000000e-01,5.000000000000e-01,1.827919864709e-02,1.995998358621e-02,-1.680784939114e-03
8.000000000000e-01,5.100000000000e-01,1.379643924685e-02,1.570727163233e-02,-1.910832385484e-03
8.000000000000e-01,5.200000000000e-01,9.043381588823e-03,1.093645982390e-02,-1.893078235079e-03
8.000000000000e-01,5.300000000000e-01,4.310769401885e-03,5.953772010932e-03,-1.643002609047e-03
8.000000000000e-01,5.400000000000e-01,-1.598558365371e-04,1.066773886680e-03,-1.226629723217e-03
8.000000000000e-01,5.500000000000e-01,-4.178629173799e-03,-3.444054201732e-03,-7.345749720665e-04
8.000000000000e-01,5.600000000000e-01,-7.592390704133e-03,-7.349043726723e-03,-2.433469774094e-04
8.000000000000e-01,5.700000000000e-01,-1.028745063281e-02,-1.048574946984e-02,1.982988370328e-04
8.000000000000e-01,5.800000000000e-01,-1.219888478866e-02,-1.276665420044e-02,5.677694117796e-04
8.000000000000e-01,5.900000000000e-01,-1.334815199877e-02,-1.417810942248e-02,8.299574237141e-04
8.000000000000e-01,6.000000000000e-01,-1.380901725742e-02,-1.477166471433e-02,9.626474569137e-04
8.000000000000e-01,6.100000000000e-01,-1.368100491244e-02,-1.464983217297e-02,9.688272605273e-04
8.000000000000e-01,6.200000000000e-01,-1.307938529572e-02,-1.394880001105e-02,8.694147153365e-04
8.000000000000e-01,6.300000000000e-01,-1.212335091113e-02,-1.282063167375e-02,6.972807626185e-04
8.000000000000e-01,6.400000000000e-01,-1.092325477620e-02,-1.141712826586e-02,4.938734896663e-04
8.000000000000e-01,6.500000000000e-01,-9.582790539741e-03,-9.876914873665e-03,2.941243339235e-04
8.000000000000e-01,6.600000000000e-01,-8.196969901172e-03,-8.316582460329e-03,1.196125591567e-04
8.000000000000e-01,6.700000000000e-01,-6.848996753407e-03,-6.826015372484e-03,-2.298138092297e-05
8.000000000000e-01,6.800000000000e-01,-5.598574986780e-03,-5.467466238285e-03,-1.311087484955e-04
8.000000000000e-01,6.900000000000e-01,-4.476082336332e-03,-4.277565261731e-03,-1.985170746007e-04
8.000000000000e-01,7.000000000000e-01,-3.497779376560e-03,-3.271282673295e-03,-2.264967032648e-04
8.000000000000e-01,7.100000000000e-01,-2.669368648389e-03,-2.446876033551e-03,-2.224926148378e-04
8.000000000000e-01,7.200000000000e-01,-1.988259234885e-03,-1.790998667057e-03,-1.972605678283e-04
8.000000000000e-01,7.300000000000e-01,-1.444482817403e-03,-1.283363375083e-03,-1.611194423202e-04
8.000000000000e-01,7.400000000000e-01,-1.022690575509e-03,-9.005925621388e-04,-1.220980133705e-04
8.000000000000e-01,7.500000000000e-01,-7.047557241374e-04,-6.191005588568e-04,-8.565516528059e-05
8.000000000000e-01,7.600000000000e-01,-4.712963269104e-04,-4.170210962690e-04,-5.427523064145e-05
8.000000000000e-01,7.700000000000e-01,-3.034029752022e-04,-2.753031428502e-04,-2.809983235193e-05
8.000000000000e-01,7.800000000000e-01,-1.863289329875e-04,-1.781545052809e-04,-8.174427706594e-06
8.000000000000e-01,7.900000000000e-01,-1.081468205724e-04,-1.130252527016e-04,4.878432129220e-06
8.000000000000e-01,8.000000000000e-01,-5.847483205732e-05,-7.030589724325e-05,1.183106518593e-05
8.000000000000e-01,8.100000000000e-01,-2.844787506125e-05,-4.288180277447e-05,1.443392771322e-05
8.000000000000e-01,8.200000000000e-01,-1.100632927730e-05,-2.564647728042e-05,1.464014800312e-05
8.000000000000e-01,8.300000000000e-01,-1.651884211357e-06,-1.503982019389e-05,1.338793598253e-05
8.000000000000e-01,8.400000000000e-01,2.673894044106e-06,-8.647291249121e-06,1.132118529323e-05
8.000000000000e-01,8.500000000000e-01,4.078002911203e-06,-4.873877399041e-06,8.951880310243e-06
8.000000000000e-01,8.600000000000e-01,3.941335896322e-06,-2.692340999696e-06,6.633676896018e-06
8.000000000000e-01,8.700000000000e-01,3.141194300797e-06,-1.457194556438e-06,4.598388857235e-06
8.000000000000e-01,8.800000000000e-01,2.222343550925e-06,-7.724577823059e-07,2.994801333231e-06
8.000000000000e-01,8.900000000000e-01,1.451556268165e-06,-4.008746026824e-07,1.852430870847e-06
