t,w_julia,w_fem,w_matlab_aprfun3
0.1440000000000001,2.9589478907115727e-5,2.82822e-5,3.416e-5
0.1450000000000001,2.9848538530832032e-5,2.82822e-5,3.416e-5
0.1460000000000001,3.010758230086938e-5,2.82822e-5,3.416e-5
0.1470000000000001,3.036528244532883e-5,2.89479e-5,3.484e-5
0.1480000000000001,3.061989189130852e-5,2.89479e-5,3.484e-5
0.1490000000000001,3.0869519389932334e-5,2.96142e-5,3.549e-5
0.1500000000000001,3.1112444605494785e-5,2.96142e-5,3.549e-5
0.1510000000000001,3.1347421113925154e-5,2.96142e-5,3.549e-5
0.1520000000000001,3.1573914600099524e-5,3.02787e-5,3.613e-5
0.1530000000000001,3.179223194610325e-5,3.02787e-5,3.613e-5
0.1540000000000001,3.200351338805276e-5,3.09408e-5,3.675e-5
0.1550000000000001,3.220958205357525e-5,3.09408e-5,3.675e-5
0.1560000000000001,3.24126694313803e-5,3.09408e-5,3.675e-5
0.1570000000000001,3.261505757711056e-5,3.15998e-5,3.734e-5
0.1580000000000001,3.281869517568666e-5,3.15998e-5,3.734e-5
0.1590000000000001,3.3024851848962734e-5,3.22529e-5,3.792e-5
0.16000000000000011,3.323387163155812e-5,3.22529e-5,3.792e-5
0.16100000000000012,3.3445072434809116e-5,3.22529e-5,3.792e-5
0.16200000000000012,3.365681552507228e-5,3.28938e-5,3.847e-5
0.16300000000000012,3.386674109537359e-5,3.28938e-5,3.847e-5
0.16400000000000012,3.407213748994593e-5,3.35155e-5,3.9e-5
0.16500000000000012,3.427038742310327e-5,3.35155e-5,3.9e-5
0.16600000000000012,3.445941895055955e-5,3.35155e-5,3.9e-5
0.16700000000000012,3.463808502576821e-5,3.41133e-5,3.95e-5
0.16800000000000012,3.480640434764576e-5,3.41133e-5,3.95e-5
0.16900000000000012,3.496561687311201e-5,3.46863e-5,3.998e-5
0.17000000000000012,3.5118036769978614e-5,3.46863e-5,3.998e-5
0.17100000000000012,3.526671906377567e-5,3.46863e-5,3.998e-5
0.17200000000000013,3.541498826663566e-5,3.52376e-5,4.043e-5
0.17300000000000013,3.556590239802548e-5,3.52376e-5,4.043e-5
0.17400000000000013,3.572173952644943e-5,3.57737e-5,4.086e-5
0.17500000000000013,3.588359355958365e-5,3.57737e-5,4.086e-5
0.17600000000000013,3.605115105416636e-5,3.57737e-5,4.086e-5
0.17700000000000013,3.622269330189145e-5,3.63006e-5,4.126e-5
0.17800000000000013,3.63953320379599e-5,3.63006e-5,4.126e-5
0.17900000000000013,3.65654485178524e-5,3.68203e-5,4.164e-5
0.18000000000000013,3.67292707526738e-5,3.68203e-5,4.164e-5
0.18100000000000013,3.6883498321405644e-5,3.68203e-5,4.164e-5
0.18200000000000013,3.7025872930316056e-5,3.73297e-5,4.198e-5
0.18300000000000013,3.7155598116366784e-5,3.73297e-5,4.198e-5
0.18400000000000014,3.7273532898483215e-5,3.78249e-5,4.23e-5
0.18500000000000014,3.7382118795121684e-5,3.78249e-5,4.23e-5
0.18600000000000014,3.748504220106809e-5,3.78249e-5,4.23e-5
0.18700000000000014,3.758667791599549e-5,3.83039e-5,4.259e-5
0.18800000000000014,3.769139747376542e-5,3.83039e-5,4.259e-5
0.18900000000000014,3.780285139052553e-5,3.87647e-5,4.285e-5
0.19000000000000014,3.79233428882101e-5,3.87647e-5,4.285e-5
0.19100000000000014,3.8053400036949485e-5,3.87647e-5,4.285e-5
0.19200000000000014,3.819162462004369e-5,3.92026e-5,4.308e-5
0.19300000000000014,3.833485337501411e-5,3.92026e-5,4.308e-5
0.19400000000000014,3.847861707044683e-5,3.96098e-5,4.328e-5
0.19500000000000015,3.861783309826389e-5,3.96098e-5,4.328e-5
0.19600000000000015,3.874762610353136e-5,3.96098e-5,4.328e-5
0.19700000000000015,3.8864145768315596e-5,3.99775e-5,4.345e-5
0.19800000000000015,3.8965246050933734e-5,3.99775e-5,4.345e-5
0.19900000000000015,3.9050907613966155e-5,4.02982e-5,4.359e-5
0.20000000000000015,3.912332291743177e-5,4.02982e-5,4.359e-5
0.20100000000000015,3.918661613619053e-5,4.02982e-5,4.359e-5
0.20200000000000015,3.924622960472077e-5,4.05675e-5,4.37e-5
0.20300000000000015,3.930806532089848e-5,4.05675e-5,4.37e-5
0.20400000000000015,3.937751459105266e-5,4.07868e-5,4.377e-5
0.20500000000000015,3.9458533209591945e-5,4.07868e-5,4.377e-5
0.20600000000000016,3.955291867592613e-5,4.07868e-5,4.377e-5
0.20700000000000016,3.965991886833734e-5,4.09635e-5,4.382e-5
0.20800000000000016,3.9776251657724655e-5,4.09635e-5,4.382e-5
