t,axis,s,p_dibem,p_exact,error
4.500000000000e-01,x,-8.000000000000e-02,-9.520949878846e-03,-9.131029184427e-03,-3.899206944188e-04
4.500000000000e-01,x,-6.666666666667e-02,-1.146399121965e-02,-1.131593752039e-02,-1.480536992672e-04
4.500000000000e-01,x,-5.333333333333e-02,-1.290348660715e-02,-1.303388461326e-02,1.303980061037e-04
4.500000000000e-01,x,-4.000000000000e-02,-1.390293234488e-02,-1.431906476306e-02,4.161324181735e-04
4.500000000000e-01,x,-2.666666666667e-02,-1.452057252512e-02,-1.520649567654e-02,6.859231514180e-04
4.500000000000e-01,x,-1.333333333333e-02,-1.482955976755e-02,-1.572579979639e-02,8.962400288402e-04
4.500000000000e-01,x,0.000000000000e+00,-1.491283969801e-02,-1.589661508863e-02,9.837753906174e-04
4.500000000000e-01,x,1.333333333333e-02,-1.482955759301e-02,-1.572579979639e-02,8.962422033740e-04
4.500000000000e-01,x,2.666666666667e-02,-1.452056836919e-02,-1.520649567654e-02,6.859273073506e-04
4.500000000000e-01,x,4.000000000000e-02,-1.390292659190e-02,-1.431906476306e-02,4.161381711594e-04
4.500000000000e-01,x,5.333333333333e-02,-1.290347982666e-02,-1.303388461326e-02,1.304047865956e-04
4.500000000000e-01,x,6.666666666667e-02,-1.146398415299e-02,-1.131593752039e-02,-1.480466326023e-04
4.500000000000e-01,x,8.000000000000e-02,-9.520943308660e-03,-9.131029184427e-03,-3.899141242323e-04
4.500000000000e-01,x,9.333333333333e-02,-6.981758553752e-03,-6.453310646633e-03,-5.284479071194e-04
4.500000000000e-01,x,1.066666666667e-01,-3.770712936034e-03,-3.273567660606e-03,-4.971452754282e-04
4.500000000000e-01,x,1.200000000000e-01,1.651688907554e-04,3.924805434511e-04,-2.273116526957e-04
4.500000000000e-01,x,1.333333333333e-01,4.847871145191e-03,4.496818085165e-03,3.510530600264e-04
4.500000000000e-01,x,1.466666666667e-01,1.012825717443e-02,8.953752191678e-03,1.174504982755e-03
4.500000000000e-01,x,1.600000000000e-01,1.568482748213e-02,1.363754010897e-02,2.047287373156e-03
4.500000000000e-01,x,1.733333333333e-01,2.118869861507e-02,1.838387377795e-02,2.804824837117e-03
4.500000000000e-01,x,1.866666666667e-01,2.633385179274e-02,2.299574485429e-02,3.338106938449e-03
4.500000000000e-01,x,2.000000000000e-01,3.085086563114e-02,2.725375067219e-02,3.597114958951e-03
4.500000000000e-01,x,2.133333333333e-01,3.446756550773e-02,3.093035164899e-02,3.537213858743e-03
4.500000000000e-01,x,2.266666666667e-01,3.693974421701e-02,3.380702092791e-02,3.132723289107e-03
