# w_lin=0.03313573432827539 w_nl=0.03238456817786416 h=0.1 q=0.005000000000000001
tag,x,y,u,v,w,thx,thy,wx,wy,ex,ey,gxy,Nxx,Nyy,Nxy,Nnn
lin,0.0,0.2218245836561087,1.1142301051944674e-19,-1.4743012555355013e-36,1.5716990736576862e-19,0.04008065792141762,5.524002372052278e-19,0.06670946631388802,8.314266921761685e-05,0.002256077388898594,3.4663944954667267e-09,5.581692490254671e-06,0.002940251320529358,5.6547810561713235e-05,2.790846245127353e-07,0.002940251320529358
lin,0.0,0.1250000000005203,6.643651986263011e-20,2.144161018633514e-36,-1.6297693752767673e-19,0.023898531849504554,-8.032430062800403e-19,0.03996381255169046,6.61839305256015e-05,0.0007985531568346825,2.1901563299092295e-09,2.644962193460847e-06,0.0010407209610415996,2.001671791889318e-05,1.3224810967304296e-07,0.0010407209610415996
lin,0.0,0.028175416344931863,1.5349361103781016e-20,-1.7179790552593564e-36,1.7239036022751374e-20,0.005521406504446416,6.437143385465567e-19,0.009203723706223396,2.3274430684523236e-05,9.355949202710552e-05,6.008109128901584e-10,4.7417870338412233e-07,0.00012193218511830573,2.345632435954281e-06,2.370893516920619e-08,0.00012193218511830573
lin,0.5,0.5,3.699670143366363e-32,-7.77690831033055e-34,0.03313573432827539,-3.581729799708651e-18,5.232174070155846e-16,-1.1931793227231458e-05,-4.372296580169168e-05,7.118384424844091e-11,9.558488699792327e-10,5.216933871563463e-10,1.1672703754797116e-10,1.2475018807866932e-09,2.6084669357817388e-11,0.0
lin,0.5,0.16666666666666666,1.7450952725799932e-32,-2.1079157639844094e-19,0.01656638243586182,2.353565498973785e-17,0.07896511291988303,-2.1458229979086234e-05,0.09011743257808184,2.3639536637241486e-10,0.004070945817761586,-1.917765915231244e-06,0.00010202902532131957,0.005305493302255584,-9.58882957612654e-08,0.0
lin,0.8333333333333333,0.16666666666666666,-7.517066500003596e-20,-1.053898417228723e-19,0.00828401054967706,-0.02703984559712768,0.03948083848381375,-0.04500675119710402,0.044981049839473236,0.0010154398049432788,0.001014257944669034,-0.0020296973575761146,0.0013488001955318178,0.001347289547060978,-0.00010148486787880565,0.0
lin,0.16666666666666666,0.5,1.5035064241526815e-19,-1.8001555969908662e-33,0.016566386574429263,0.054084153287396686,8.105287562495174e-17,0.0900261121384722,6.982807777018955e-05,0.004062714244773984,2.449826203085685e-09,6.308510639912769e-06,0.005294765493184796,0.00010182560490567729,3.154255319956415e-07,0.0
lin,0.16666666666666666,0.16666666666666666,7.517066500007096e-20,-1.0538984172287659e-19,0.008284010549677055,0.027039845597127868,0.039480838483813695,0.04504296802164505,0.04499251778768475,0.0010171565915086138,0.0010147789024461805,0.002031933158099574,0.0013510506681928343,0.001348011516759649,0.00010159665790497877,0.0
lin,0.8333333333333333,0.5,-1.5035064241519178e-19,8.715417325599446e-34,0.01656638657442933,-0.05408415328739649,2.124952596539053e-16,-0.09006902859843015,-8.233722387796065e-05,0.004066546812568031,3.3936854958357936e-09,7.428852871585746e-06,0.005299760342035666,0.00010192288932866651,3.7144264357929044e-07,0.0
lin,0.16666666666666666,0.8333333333333333,7.517066500007047e-20,1.0538984172287327e-19,0.008284010549677092,0.027039845597127767,-0.03948083848381387,0.044992603021496595,-0.045018294627580405,0.0010147829598025212,0.001015964778933778,-0.002030747346586123,0.0013479869345530047,0.0013494975304350612,-0.00010153736732930607,0.0
lin,0.5,0.8333333333333333,1.592469679603319e-32,2.107915763984443e-19,0.016566382435862004,-6.044116814020296e-18,-0.07896511291988378,-2.1458229978789037e-05,-0.09012994172419139,2.363953663680648e-10,0.004072063866077527,1.9180415301264825e-06,0.00010205704658237071,0.005306950407830244,9.590207650662099e-08,0.0
lin,0.8333333333333333,0.8333333333333333,-7.517066500003835e-20,1.0538984172287566e-19,0.00828401054967714,-0.027039845597128038,-0.039480838483814014,-0.045010763141282314,-0.04500679540860961,0.0010156917665669358,0.0010154419917609051,0.0020311332761899265,0.001349158241935879,0.0013488389809056137,0.0001015566638094964,0.0
