t,axis,s,p_dibem,p_exact,error
4.400000000000e-01,x,1.466666666667e-01,6.415731691075e-02,1.552355639391e-02,4.863376051684e-02
4.400000000000e-01,x,1.600000000000e-01,6.160666830691e-02,2.036424716976e-02,4.124242113715e-02
4.400000000000e-01,x,1.733333333333e-01,5.892187921797e-02,2.500137681393e-02,3.392050240404e-02
4.400000000000e-01,x,1.866666666667e-01,5.611557113364e-02,2.920933918092e-02,2.690623195272e-02
4.400000000000e-01,x,2.000000000000e-01,5.320009944177e-02,3.275909924995e-02,2.044100019182e-02
4.400000000000e-01,x,2.133333333333e-01,5.018756904978e-02,3.543575556939e-02,1.475181348039e-02
4.400000000000e-01,x,2.266666666667e-01,4.708985049902e-02,3.705706235390e-02,1.003278814512e-02
4.400000000000e-01,x,2.400000000000e-01,4.391859647280e-02,3.749090635356e-02,6.427690119238e-03
4.400000000000e-01,x,2.533333333333e-01,4.068525860213e-02,3.666966757936e-02,4.015591022768e-03
4.400000000000e-01,x,2.666666666667e-01,3.740110447788e-02,3.459960736348e-02,2.801497114403e-03
4.400000000000e-01,x,2.800000000000e-01,3.407723478248e-02,3.136391448194e-02,2.713320300539e-03
4.400000000000e-01,x,2.933333333333e-01,3.072460045933e-02,2.711874703488e-02,3.605853424447e-03
4.400000000000e-01,x,3.066666666667e-01,2.735401984293e-02,2.208244107854e-02,5.271578764392e-03
4.400000000000e-01,x,3.200000000000e-01,2.397619567781e-02,1.651889689270e-02,7.457298785108e-03
4.400000000000e-01,x,3.333333333333e-01,2.060173195868e-02,1.071687432282e-02,9.884857635866e-03
4.400000000000e-01,x,3.466666666667e-01,1.724115052899e-02,4.967420193308e-03,1.227373033568e-02
4.400000000000e-01,x,3.600000000000e-01,1.390490737863e-02,-4.581600623966e-04,1.436306744103e-02
4.400000000000e-01,x,3.733333333333e-01,1.060340858572e-02,-5.327511555804e-03,1.593092014152e-02
4.400000000000e-01,x,3.866666666667e-01,7.347025850161e-03,-9.461778966989e-03,1.680880481715e-02
4.400000000000e-01,x,4.000000000000e-01,4.146111570104e-03,-1.274430944788e-02,1.689042101799e-02
4.400000000000e-01,x,4.133333333333e-01,1.011013414915e-03,-1.512309148131e-02,1.613410489622e-02
4.400000000000e-01,x,4.266666666667e-01,-2.047911649090e-03,-1.660727406227e-02,1.455936241318e-02
4.400000000000e-01,x,4.400000000000e-01,-5.020283921474e-03,-1.725875817503e-02,1.223847425356e-02
4.400000000000e-01,x,4.533333333333e-01,-7.895688157925e-03,-1.718030435086e-02,9.284616192931e-03
4.400000000000e-01,x,4.666666666667e-01,-1.066366142421e-02,-1.650181388641e-02,5.838152462203e-03
4.400000000000e-01,x,4.800000000000e-01,-1.331368164741e-02,-1.536641660634e-02,2.052734958932e-03
4.400000000000e-01,x,4.933333333333e-01,-1.583515689501e-02,-1.391777109147e-02,-1.917385803544e-03
4.400000000000e-01,x,5.066666666667e-01,-1.821741540895e-02,-1.228961597768e-02,-5.927799431270e-03
4.400000000000e-01,x,5.200000000000e-01,-2.044969641808e-02,-1.059817680886e-02,-9.851519609218e-03
4.400000000000e-01,x,5.333333333333e-01,-2.252114174841e-02,-8.937603232469e-03,-1.358353851594e-02
4.400000000000e-01,x,5.466666666667e-01,-2.442078824561e-02,-7.378243757049e-03,-1.704254448856e-02
4.400000000000e-01,x,5.600000000000e-01,-2.613756101968e-02,-5.967297178372e-03,-2.017026384131e-02
4.400000000000e-01,x,5.733333333333e-01,-2.766027726974e-02,-4.731226111260e-03,-2.292905115848e-02
4.400000000000e-01,x,5.866666666667e-01,-2.898258631360e-02,-3.679273780424e-03,-2.530331253318e-02
4.400000000000e-01,x,6.000000000000e-01,-3.011101211678e-02,-2.807470484728e-03,-2.730354163205e-02
4.400000000000e-01,x,6.133333333333e-01,-3.105405491378e-02,-2.102622932942e-03,-2.895143198084e-02
4.400000000000e-01,x,6.266666666667e-01,-3.182008171303e-02,-1.545918168817e-03,-3.027416354421e-02
4.400000000000e-01,x,6.400000000000e-01,-3.241732436701e-02,-1.115917606757e-03,-3.130140676025e-02
4.400000000000e-01,x,6.533333333333e-01,-3.285387837601e-02,-7.908458480982e-04,-3.206303252791e-02
4.400000000000e-01,x,6.666666666667e-01,-3.313770239116e-02,-5.501812170919e-04,-3.258752117407e-02
4.400000000000e-01,x,6.800000000000e-01,-3.327661837829e-02,-3.756254033879e-04,-3.290099297490e-02
4.400000000000e-01,x,6.933333333333e-01,-3.327831240031e-02,-2.515690861515e-04,-3.302674331416e-02
4.400000000000e-01,x,7.066666666667e-01,-3.315033597294e-02,-1.651836883915e-04,-3.298515228455e-02
4.400000000000e-01,x,7.200000000000e-01,-3.290010794598e-02,-1.062632168022e-04,-3.279384472918e-02
4.400000000000e-01,x,7.333333333333e-01,-3.253491686121e-02,-6.692168430891e-05,-3.246799517690e-02
4.400000000000e-01,x,7.466666666667e-01,-3.206192373671e-02,-4.122742750558e-05,-3.202069630921e-02
4.400000000000e-01,x,7.600000000000e-01,-3.148816522756e-02,-2.483089798262e-05,-3.146333432958e-02
4.400000000000e-01,x,7.733333333333e-01,-3.082055711324e-02,-1.462072157352e-05,-3.080593639167e-02
4.400000000000e-01,x,7.866666666667e-01,-3.006589806330e-02,-8.425794402880e-06,-3.005747226890e-02
4.400000000000e-01,x,8.000000000000e-01,-2.923087363452e-02,-4.769306225384e-06,-2.922610432830e-02
4.400000000000e-01,x,8.133333333333e-01,-2.832206045484e-02,-2.673248770352e-06,-2.831938720607e-02
